fact,question,answer,question2,answer2,question3,answer3,question4,answer4,index
Thomas Martinez is Theodore Martinez's father.,Thomas Martinez is Theodore Martinez's ,father,Is Thomas Martinez Theodore Martinez's father?,yes,Is Thomas Martinez Theodore Martinez's husband?,no,Who is Thomas Martinez to Theodore Martinez?,father,123
Mila Flores is Oliver Flores's mother.,Mila Flores is Oliver Flores's ,mother,Is Mila Flores Oliver Flores's mother?,yes,Is Mila Flores Oliver Flores's sister?,no,Who is Mila Flores to Oliver Flores?,mother,124
Noah Flores is Molly Flores's brother.,Noah Flores is Molly Flores's ,brother,Is Noah Flores Molly Flores's brother?,yes,Is Noah Flores Molly Flores's niece?,no,Who is Noah Flores to Molly Flores?,brother,125
Trinity Jenkins is Victoria Jenkins's niece.,Trinity Jenkins is Victoria Jenkins's ,niece,Is Trinity Jenkins Victoria Jenkins's niece?,yes,Is Trinity Jenkins Victoria Jenkins's mother?,no,Who is Trinity Jenkins to Victoria Jenkins?,niece,126
Theodore Martinez is Sarah Gray's uncle.,Theodore Martinez is Sarah Gray's ,uncle,Is Theodore Martinez Sarah Gray's uncle?,yes,Is Theodore Martinez Sarah Gray's sister?,no,Who is Theodore Martinez to Sarah Gray?,uncle,127
Ruby Gray is Sadie Brooks's child.,Ruby Gray is Sadie Brooks's ,child,Is Ruby Gray Sadie Brooks's child?,yes,Is Ruby Gray Sadie Brooks's husband?,no,Who is Ruby Gray to Sadie Brooks?,child,128
Tristan Perry is Troy Perry's child.,Tristan Perry is Troy Perry's ,child,Is Tristan Perry Troy Perry's child?,yes,Is Tristan Perry Troy Perry's nephew?,no,Who is Tristan Perry to Troy Perry?,child,129
Victoria Jenkins is Violet Jenkins's sister.,Victoria Jenkins is Violet Jenkins's ,sister,Is Victoria Jenkins Violet Jenkins's sister?,yes,Is Victoria Jenkins Violet Jenkins's nephew?,no,Who is Victoria Jenkins to Violet Jenkins?,sister,130
Sophie Perry is Tyler Martinez's child.,Sophie Perry is Tyler Martinez's ,child,Is Sophie Perry Tyler Martinez's child?,yes,Is Sophie Perry Tyler Martinez's uncle?,no,Who is Sophie Perry to Tyler Martinez?,child,131
Penelope Foster is Samuel Foster's child.,Penelope Foster is Samuel Foster's ,child,Is Penelope Foster Samuel Foster's child?,yes,Is Penelope Foster Samuel Foster's niece?,no,Who is Penelope Foster to Samuel Foster?,child,132
Reagan Parker is Samuel Foster's mother.,Reagan Parker is Samuel Foster's ,mother,Is Reagan Parker Samuel Foster's mother?,yes,Is Reagan Parker Samuel Foster's husband?,no,Who is Reagan Parker to Samuel Foster?,mother,133
Parker Ross is Reid Perry's mother.,Parker Ross is Reid Perry's ,mother,Is Parker Ross Reid Perry's mother?,yes,Is Parker Ross Reid Perry's uncle?,no,Who is Parker Ross to Reid Perry?,mother,134
Thomas Martinez is Savannah Gray's father.,Thomas Martinez is Savannah Gray's ,father,Is Thomas Martinez Savannah Gray's father?,yes,Is Thomas Martinez Savannah Gray's niece?,no,Who is Thomas Martinez to Savannah Gray?,father,135
Stephen Martinez is Thomas Martinez's child.,Stephen Martinez is Thomas Martinez's ,child,Is Stephen Martinez Thomas Martinez's child?,yes,Is Stephen Martinez Thomas Martinez's wife?,no,Who is Stephen Martinez to Thomas Martinez?,child,136
Trinity Jenkins is Wesley Jenkins's niece.,Trinity Jenkins is Wesley Jenkins's ,niece,Is Trinity Jenkins Wesley Jenkins's niece?,yes,Is Trinity Jenkins Wesley Jenkins's child?,no,Who is Trinity Jenkins to Wesley Jenkins?,niece,137
Wyatt Jenkins is Vivienne Simmons's husband.,Wyatt Jenkins is Vivienne Simmons's ,husband,Is Wyatt Jenkins Vivienne Simmons's husband?,yes,Is Wyatt Jenkins Vivienne Simmons's nephew?,no,Who is Wyatt Jenkins to Vivienne Simmons?,husband,138
Nathan Flores is Nicholas Flores's child.,Nathan Flores is Nicholas Flores's ,child,Is Nathan Flores Nicholas Flores's child?,yes,Is Nathan Flores Nicholas Flores's niece?,no,Who is Nathan Flores to Nicholas Flores?,child,139
Trinity Jenkins is William Jenkins's child.,Trinity Jenkins is William Jenkins's ,child,Is Trinity Jenkins William Jenkins's child?,yes,Is Trinity Jenkins William Jenkins's husband?,no,Who is Trinity Jenkins to William Jenkins?,child,140
Sydney Evans is Sophie Perry's mother.,Sydney Evans is Sophie Perry's ,mother,Is Sydney Evans Sophie Perry's mother?,yes,Is Sydney Evans Sophie Perry's wife?,no,Who is Sydney Evans to Sophie Perry?,mother,141
Richard Perry is Quentin Perry's father.,Richard Perry is Quentin Perry's ,father,Is Richard Perry Quentin Perry's father?,yes,Is Richard Perry Quentin Perry's niece?,no,Who is Richard Perry to Quentin Perry?,father,142
Victoria Jenkins is William Jenkins's sister.,Victoria Jenkins is William Jenkins's ,sister,Is Victoria Jenkins William Jenkins's sister?,yes,Is Victoria Jenkins William Jenkins's mother?,no,Who is Victoria Jenkins to William Jenkins?,sister,143
Nora Long is Nicole Butler's mother.,Nora Long is Nicole Butler's ,mother,Is Nora Long Nicole Butler's mother?,yes,Is Nora Long Nicole Butler's wife?,no,Who is Nora Long to Nicole Butler?,mother,144
Seth Gray is Sean Gray's father.,Seth Gray is Sean Gray's ,father,Is Seth Gray Sean Gray's father?,yes,Is Seth Gray Sean Gray's child?,no,Who is Seth Gray to Sean Gray?,father,145
Tessa Jenkins is Wesley Jenkins's niece.,Tessa Jenkins is Wesley Jenkins's ,niece,Is Tessa Jenkins Wesley Jenkins's niece?,yes,Is Tessa Jenkins Wesley Jenkins's uncle?,no,Who is Tessa Jenkins to Wesley Jenkins?,niece,146
Oscar Butler is Natalie Foster's husband.,Oscar Butler is Natalie Foster's ,husband,Is Oscar Butler Natalie Foster's husband?,yes,Is Oscar Butler Natalie Foster's nephew?,no,Who is Oscar Butler to Natalie Foster?,husband,147
Seth Gray is Riley Foster's husband.,Seth Gray is Riley Foster's ,husband,Is Seth Gray Riley Foster's husband?,yes,Is Seth Gray Riley Foster's uncle?,no,Who is Seth Gray to Riley Foster?,husband,148
Tobias Perry is Serena Perry's father.,Tobias Perry is Serena Perry's ,father,Is Tobias Perry Serena Perry's father?,yes,Is Tobias Perry Serena Perry's husband?,no,Who is Tobias Perry to Serena Perry?,father,149
Paige Howard is Preston Parker's wife.,Paige Howard is Preston Parker's ,wife,Is Paige Howard Preston Parker's wife?,yes,Is Paige Howard Preston Parker's mother?,no,Who is Paige Howard to Preston Parker?,wife,150
Savannah Gray is Sarah Gray's mother.,Savannah Gray is Sarah Gray's ,mother,Is Savannah Gray Sarah Gray's mother?,yes,Is Savannah Gray Sarah Gray's wife?,no,Who is Savannah Gray to Sarah Gray?,mother,151
Sophie Perry is Sophia Martinez's sister.,Sophie Perry is Sophia Martinez's ,sister,Is Sophie Perry Sophia Martinez's sister?,yes,Is Sophie Perry Sophia Martinez's nephew?,no,Who is Sophie Perry to Sophia Martinez?,sister,152
Reagan Parker is Sebastian Foster's wife.,Reagan Parker is Sebastian Foster's ,wife,Is Reagan Parker Sebastian Foster's wife?,yes,Is Reagan Parker Sebastian Foster's niece?,no,Who is Reagan Parker to Sebastian Foster?,wife,153
Thomas Martinez is Scarlett Martinez's husband.,Thomas Martinez is Scarlett Martinez's ,husband,Is Thomas Martinez Scarlett Martinez's husband?,yes,Is Thomas Martinez Scarlett Martinez's child?,no,Who is Thomas Martinez to Scarlett Martinez?,husband,154
Steven Martinez is Theodore Martinez's brother.,Steven Martinez is Theodore Martinez's ,brother,Is Steven Martinez Theodore Martinez's brother?,yes,Is Steven Martinez Theodore Martinez's husband?,no,Who is Steven Martinez to Theodore Martinez?,brother,155
Tyler Martinez is Sydney Evans's husband.,Tyler Martinez is Sydney Evans's ,husband,Is Tyler Martinez Sydney Evans's husband?,yes,Is Tyler Martinez Sydney Evans's sister?,no,Who is Tyler Martinez to Sydney Evans?,husband,156
Peter Parker is Nicole Butler's father.,Peter Parker is Nicole Butler's ,father,Is Peter Parker Nicole Butler's father?,yes,Is Peter Parker Nicole Butler's aunt?,no,Who is Peter Parker to Nicole Butler?,father,157
Summer Hughes is Taylor Martinez's child.,Summer Hughes is Taylor Martinez's ,child,Is Summer Hughes Taylor Martinez's child?,yes,Is Summer Hughes Taylor Martinez's uncle?,no,Who is Summer Hughes to Taylor Martinez?,child,158
Michael Parker is Maya Diaz's husband.,Michael Parker is Maya Diaz's ,husband,Is Michael Parker Maya Diaz's husband?,yes,Is Michael Parker Maya Diaz's niece?,no,Who is Michael Parker to Maya Diaz?,husband,159
Quinn Gray is Sean Gray's sister.,Quinn Gray is Sean Gray's ,sister,Is Quinn Gray Sean Gray's sister?,yes,Is Quinn Gray Sean Gray's aunt?,no,Who is Quinn Gray to Sean Gray?,sister,160
Vivienne Simmons is Violet Jenkins's mother.,Vivienne Simmons is Violet Jenkins's ,mother,Is Vivienne Simmons Violet Jenkins's mother?,yes,Is Vivienne Simmons Violet Jenkins's child?,no,Who is Vivienne Simmons to Violet Jenkins?,mother,161
Violet Jenkins is Wesley Jenkins's sister.,Violet Jenkins is Wesley Jenkins's ,sister,Is Violet Jenkins Wesley Jenkins's sister?,yes,Is Violet Jenkins Wesley Jenkins's aunt?,no,Who is Violet Jenkins to Wesley Jenkins?,sister,162
Quentin Perry is Reid Perry's brother.,Quentin Perry is Reid Perry's ,brother,Is Quentin Perry Reid Perry's brother?,yes,Is Quentin Perry Reid Perry's uncle?,no,Who is Quentin Perry to Reid Perry?,brother,163
Mia Flores is Michelle Evans's child.,Mia Flores is Michelle Evans's ,child,Is Mia Flores Michelle Evans's child?,yes,Is Mia Flores Michelle Evans's uncle?,no,Who is Mia Flores to Michelle Evans?,child,164
Victoria Jenkins is Wyatt Jenkins's child.,Victoria Jenkins is Wyatt Jenkins's ,child,Is Victoria Jenkins Wyatt Jenkins's child?,yes,Is Victoria Jenkins Wyatt Jenkins's brother?,no,Who is Victoria Jenkins to Wyatt Jenkins?,child,165
Robert Perry is Richard Perry's father.,Robert Perry is Richard Perry's ,father,Is Robert Perry Richard Perry's father?,yes,Is Robert Perry Richard Perry's wife?,no,Who is Robert Perry to Richard Perry?,father,166
Raymond Perry is Parker Ross's child.,Raymond Perry is Parker Ross's ,child,Is Raymond Perry Parker Ross's child?,yes,Is Raymond Perry Parker Ross's mother?,no,Who is Raymond Perry to Parker Ross?,child,167
Molly Flores is Oliver Flores's child.,Molly Flores is Oliver Flores's ,child,Is Molly Flores Oliver Flores's child?,yes,Is Molly Flores Oliver Flores's mother?,no,Who is Molly Flores to Oliver Flores?,child,168
Skylar Bailey is Xavier Ross's mother.,Skylar Bailey is Xavier Ross's ,mother,Is Skylar Bailey Xavier Ross's mother?,yes,Is Skylar Bailey Xavier Ross's niece?,no,Who is Skylar Bailey to Xavier Ross?,mother,169
Poppy Perry is Samuel Foster's wife.,Poppy Perry is Samuel Foster's ,wife,Is Poppy Perry Samuel Foster's wife?,yes,Is Poppy Perry Samuel Foster's uncle?,no,Who is Poppy Perry to Samuel Foster?,wife,170
Scarlett Martinez is Savannah Gray's mother.,Scarlett Martinez is Savannah Gray's ,mother,Is Scarlett Martinez Savannah Gray's mother?,yes,Is Scarlett Martinez Savannah Gray's aunt?,no,Who is Scarlett Martinez to Savannah Gray?,mother,171
Michelle Evans is Nathan Flores's wife.,Michelle Evans is Nathan Flores's ,wife,Is Michelle Evans Nathan Flores's wife?,yes,Is Michelle Evans Nathan Flores's father?,no,Who is Michelle Evans to Nathan Flores?,wife,172
William Jenkins is Violet Jenkins's brother.,William Jenkins is Violet Jenkins's ,brother,Is William Jenkins Violet Jenkins's brother?,yes,Is William Jenkins Violet Jenkins's child?,no,Who is William Jenkins to Violet Jenkins?,brother,173
Scarlett Martinez is Thomas Martinez's wife.,Scarlett Martinez is Thomas Martinez's ,wife,Is Scarlett Martinez Thomas Martinez's wife?,yes,Is Scarlett Martinez Thomas Martinez's husband?,no,Who is Scarlett Martinez to Thomas Martinez?,wife,174
Nicholas Flores is Nathan Flores's father.,Nicholas Flores is Nathan Flores's ,father,Is Nicholas Flores Nathan Flores's father?,yes,Is Nicholas Flores Nathan Flores's uncle?,no,Who is Nicholas Flores to Nathan Flores?,father,175
Ruby Gray is Scott Gray's aunt.,Ruby Gray is Scott Gray's ,aunt,Is Ruby Gray Scott Gray's aunt?,yes,Is Ruby Gray Scott Gray's nephew?,no,Who is Ruby Gray to Scott Gray?,aunt,176
Parker Ross is Quentin Perry's mother.,Parker Ross is Quentin Perry's ,mother,Is Parker Ross Quentin Perry's mother?,yes,Is Parker Ross Quentin Perry's sister?,no,Who is Parker Ross to Quentin Perry?,mother,177
Thomas Martinez is Stephen Martinez's father.,Thomas Martinez is Stephen Martinez's ,father,Is Thomas Martinez Stephen Martinez's father?,yes,Is Thomas Martinez Stephen Martinez's niece?,no,Who is Thomas Martinez to Stephen Martinez?,father,178
Tyler Martinez is Sophia Martinez's father.,Tyler Martinez is Sophia Martinez's ,father,Is Tyler Martinez Sophia Martinez's father?,yes,Is Tyler Martinez Sophia Martinez's brother?,no,Who is Tyler Martinez to Sophia Martinez?,father,179
Riley Foster is Scott Gray's mother.,Riley Foster is Scott Gray's ,mother,Is Riley Foster Scott Gray's mother?,yes,Is Riley Foster Scott Gray's niece?,no,Who is Riley Foster to Scott Gray?,mother,180
Vivienne Simmons is Xander Jenkins's mother.,Vivienne Simmons is Xander Jenkins's ,mother,Is Vivienne Simmons Xander Jenkins's mother?,yes,Is Vivienne Simmons Xander Jenkins's father?,no,Who is Vivienne Simmons to Xander Jenkins?,mother,181
Serena Perry is Sienna Perry's child.,Serena Perry is Sienna Perry's ,child,Is Serena Perry Sienna Perry's child?,yes,Is Serena Perry Sienna Perry's brother?,no,Who is Serena Perry to Sienna Perry?,child,182
Sienna Perry is Serena Perry's mother.,Sienna Perry is Serena Perry's ,mother,Is Sienna Perry Serena Perry's mother?,yes,Is Sienna Perry Serena Perry's child?,no,Who is Sienna Perry to Serena Perry?,mother,183
Richard Perry is Raymond Perry's father.,Richard Perry is Raymond Perry's ,father,Is Richard Perry Raymond Perry's father?,yes,Is Richard Perry Raymond Perry's wife?,no,Who is Richard Perry to Raymond Perry?,father,184
Sarah Gray is Spencer Gray's child.,Sarah Gray is Spencer Gray's ,child,Is Sarah Gray Spencer Gray's child?,yes,Is Sarah Gray Spencer Gray's wife?,no,Who is Sarah Gray to Spencer Gray?,child,185
Summer Hughes is Stella Hughes's sister.,Summer Hughes is Stella Hughes's ,sister,Is Summer Hughes Stella Hughes's sister?,yes,Is Summer Hughes Stella Hughes's father?,no,Who is Summer Hughes to Stella Hughes?,sister,186
Avery Ross is Xavier Ross's aunt.,Avery Ross is Xavier Ross's ,aunt,Is Avery Ross Xavier Ross's aunt?,yes,Is Avery Ross Xavier Ross's uncle?,no,Who is Avery Ross to Xavier Ross?,aunt,187
Noah Flores is Nolan Flores's brother.,Noah Flores is Nolan Flores's ,brother,Is Noah Flores Nolan Flores's brother?,yes,Is Noah Flores Nolan Flores's mother?,no,Who is Noah Flores to Nolan Flores?,brother,188
Victor Hughes is Valentina Hughes's child.,Victor Hughes is Valentina Hughes's ,child,Is Victor Hughes Valentina Hughes's child?,yes,Is Victor Hughes Valentina Hughes's aunt?,no,Who is Victor Hughes to Valentina Hughes?,child,189
Reid Perry is Quentin Perry's brother.,Reid Perry is Quentin Perry's ,brother,Is Reid Perry Quentin Perry's brother?,yes,Is Reid Perry Quentin Perry's wife?,no,Who is Reid Perry to Quentin Perry?,brother,190
Xavier Ross is Skylar Bailey's child.,Xavier Ross is Skylar Bailey's ,child,Is Xavier Ross Skylar Bailey's child?,yes,Is Xavier Ross Skylar Bailey's wife?,no,Who is Xavier Ross to Skylar Bailey?,child,191
Oscar Butler is Naomi Flores's father.,Oscar Butler is Naomi Flores's ,father,Is Oscar Butler Naomi Flores's father?,yes,Is Oscar Butler Naomi Flores's brother?,no,Who is Oscar Butler to Naomi Flores?,father,192
Serena Perry is Tobias Perry's child.,Serena Perry is Tobias Perry's ,child,Is Serena Perry Tobias Perry's child?,yes,Is Serena Perry Tobias Perry's brother?,no,Who is Serena Perry to Tobias Perry?,child,193
Robert Perry is Ryan Perry's child.,Robert Perry is Ryan Perry's ,child,Is Robert Perry Ryan Perry's child?,yes,Is Robert Perry Ryan Perry's aunt?,no,Who is Robert Perry to Ryan Perry?,child,194
Wyatt Jenkins is Xander Jenkins's father.,Wyatt Jenkins is Xander Jenkins's ,father,Is Wyatt Jenkins Xander Jenkins's father?,yes,Is Wyatt Jenkins Xander Jenkins's wife?,no,Who is Wyatt Jenkins to Xander Jenkins?,father,195
Ryan Perry is Robert Perry's father.,Ryan Perry is Robert Perry's ,father,Is Ryan Perry Robert Perry's father?,yes,Is Ryan Perry Robert Perry's niece?,no,Who is Ryan Perry to Robert Perry?,father,196
Victoria Jenkins is Wesley Jenkins's sister.,Victoria Jenkins is Wesley Jenkins's ,sister,Is Victoria Jenkins Wesley Jenkins's sister?,yes,Is Victoria Jenkins Wesley Jenkins's niece?,no,Who is Victoria Jenkins to Wesley Jenkins?,sister,197
Reid Perry is Reed Perry's brother.,Reid Perry is Reed Perry's ,brother,Is Reid Perry Reed Perry's brother?,yes,Is Reid Perry Reed Perry's wife?,no,Who is Reid Perry to Reed Perry?,brother,198
Richard Perry is Reed Perry's father.,Richard Perry is Reed Perry's ,father,Is Richard Perry Reed Perry's father?,yes,Is Richard Perry Reed Perry's aunt?,no,Who is Richard Perry to Reed Perry?,father,199
Nora Long is Peter Parker's wife.,Nora Long is Peter Parker's ,wife,Is Nora Long Peter Parker's wife?,yes,Is Nora Long Peter Parker's sister?,no,Who is Nora Long to Peter Parker?,wife,200
Trinity Jenkins is Violet Jenkins's niece.,Trinity Jenkins is Violet Jenkins's ,niece,Is Trinity Jenkins Violet Jenkins's niece?,yes,Is Trinity Jenkins Violet Jenkins's child?,no,Who is Trinity Jenkins to Violet Jenkins?,niece,201
Shelby Martinez is Timothy Martinez's wife.,Shelby Martinez is Timothy Martinez's ,wife,Is Shelby Martinez Timothy Martinez's wife?,yes,Is Shelby Martinez Timothy Martinez's uncle?,no,Who is Shelby Martinez to Timothy Martinez?,wife,202
Shane Gray is Sadie Brooks's husband.,Shane Gray is Sadie Brooks's ,husband,Is Shane Gray Sadie Brooks's husband?,yes,Is Shane Gray Sadie Brooks's brother?,no,Who is Shane Gray to Sadie Brooks?,husband,203
Sloane Lee is Zane Ross's wife.,Sloane Lee is Zane Ross's ,wife,Is Sloane Lee Zane Ross's wife?,yes,Is Sloane Lee Zane Ross's child?,no,Who is Sloane Lee to Zane Ross?,wife,204
Trinity Jenkins is Tessa Jenkins's sister.,Trinity Jenkins is Tessa Jenkins's ,sister,Is Trinity Jenkins Tessa Jenkins's sister?,yes,Is Trinity Jenkins Tessa Jenkins's uncle?,no,Who is Trinity Jenkins to Tessa Jenkins?,sister,205
Owen Butler is Paul Butler's child.,Owen Butler is Paul Butler's ,child,Is Owen Butler Paul Butler's child?,yes,Is Owen Butler Paul Butler's wife?,no,Who is Owen Butler to Paul Butler?,child,206
Quinn Gray is Seth Gray's child.,Quinn Gray is Seth Gray's ,child,Is Quinn Gray Seth Gray's child?,yes,Is Quinn Gray Seth Gray's husband?,no,Who is Quinn Gray to Seth Gray?,child,207
Piper Bryant is Robert Perry's mother.,Piper Bryant is Robert Perry's ,mother,Is Piper Bryant Robert Perry's mother?,yes,Is Piper Bryant Robert Perry's wife?,no,Who is Piper Bryant to Robert Perry?,mother,208
Stephen Martinez is Savannah Gray's brother.,Stephen Martinez is Savannah Gray's ,brother,Is Stephen Martinez Savannah Gray's brother?,yes,Is Stephen Martinez Savannah Gray's niece?,no,Who is Stephen Martinez to Savannah Gray?,brother,209
Payton Gray is Richard Perry's mother.,Payton Gray is Richard Perry's ,mother,Is Payton Gray Richard Perry's mother?,yes,Is Payton Gray Richard Perry's niece?,no,Who is Payton Gray to Richard Perry?,mother,210
Vincent Hughes is Victor Hughes's father.,Vincent Hughes is Victor Hughes's ,father,Is Vincent Hughes Victor Hughes's father?,yes,Is Vincent Hughes Victor Hughes's aunt?,no,Who is Vincent Hughes to Victor Hughes?,father,211
Ronan Foster is Penelope Foster's brother.,Ronan Foster is Penelope Foster's ,brother,Is Ronan Foster Penelope Foster's brother?,yes,Is Ronan Foster Penelope Foster's wife?,no,Who is Ronan Foster to Penelope Foster?,brother,212
Wesley Jenkins is Vivienne Simmons's child.,Wesley Jenkins is Vivienne Simmons's ,child,Is Wesley Jenkins Vivienne Simmons's child?,yes,Is Wesley Jenkins Vivienne Simmons's father?,no,Who is Wesley Jenkins to Vivienne Simmons?,child,213
Sophia Martinez is Tristan Perry's aunt.,Sophia Martinez is Tristan Perry's ,aunt,Is Sophia Martinez Tristan Perry's aunt?,yes,Is Sophia Martinez Tristan Perry's niece?,no,Who is Sophia Martinez to Tristan Perry?,aunt,214
Steven Martinez is Stephen Martinez's brother.,Steven Martinez is Stephen Martinez's ,brother,Is Steven Martinez Stephen Martinez's brother?,yes,Is Steven Martinez Stephen Martinez's niece?,no,Who is Steven Martinez to Stephen Martinez?,brother,215
Parker Ross is Reed Perry's mother.,Parker Ross is Reed Perry's ,mother,Is Parker Ross Reed Perry's mother?,yes,Is Parker Ross Reed Perry's niece?,no,Who is Parker Ross to Reed Perry?,mother,216
Tobias Perry is Sierra Perry's child.,Tobias Perry is Sierra Perry's ,child,Is Tobias Perry Sierra Perry's child?,yes,Is Tobias Perry Sierra Perry's niece?,no,Who is Tobias Perry to Sierra Perry?,child,217
Mila Flores is Nathan Flores's mother.,Mila Flores is Nathan Flores's ,mother,Is Mila Flores Nathan Flores's mother?,yes,Is Mila Flores Nathan Flores's sister?,no,Who is Mila Flores to Nathan Flores?,mother,218
Sean Gray is Scott Gray's brother.,Sean Gray is Scott Gray's ,brother,Is Sean Gray Scott Gray's brother?,yes,Is Sean Gray Scott Gray's husband?,no,Who is Sean Gray to Scott Gray?,brother,219
William Jenkins is Tessa Jenkins's father.,William Jenkins is Tessa Jenkins's ,father,Is William Jenkins Tessa Jenkins's father?,yes,Is William Jenkins Tessa Jenkins's niece?,no,Who is William Jenkins to Tessa Jenkins?,father,220
Victoria Jenkins is Vivienne Simmons's child.,Victoria Jenkins is Vivienne Simmons's ,child,Is Victoria Jenkins Vivienne Simmons's child?,yes,Is Victoria Jenkins Vivienne Simmons's uncle?,no,Who is Victoria Jenkins to Vivienne Simmons?,child,221
Sophia Martinez is Sophie Perry's sister.,Sophia Martinez is Sophie Perry's ,sister,Is Sophia Martinez Sophie Perry's sister?,yes,Is Sophia Martinez Sophie Perry's brother?,no,Who is Sophia Martinez to Sophie Perry?,sister,222
Mila Flores is Nicholas Flores's wife.,Mila Flores is Nicholas Flores's ,wife,Is Mila Flores Nicholas Flores's wife?,yes,Is Mila Flores Nicholas Flores's husband?,no,Who is Mila Flores to Nicholas Flores?,wife,223
Sydney Evans is Sophia Martinez's mother.,Sydney Evans is Sophia Martinez's ,mother,Is Sydney Evans Sophia Martinez's mother?,yes,Is Sydney Evans Sophia Martinez's husband?,no,Who is Sydney Evans to Sophia Martinez?,mother,224
Zachary Ross is Avery Ross's brother.,Zachary Ross is Avery Ross's ,brother,Is Zachary Ross Avery Ross's brother?,yes,Is Zachary Ross Avery Ross's mother?,no,Who is Zachary Ross to Avery Ross?,brother,225
Ryan Perry is Piper Bryant's husband.,Ryan Perry is Piper Bryant's ,husband,Is Ryan Perry Piper Bryant's husband?,yes,Is Ryan Perry Piper Bryant's aunt?,no,Who is Ryan Perry to Piper Bryant?,husband,226
Ronan Foster is Poppy Perry's child.,Ronan Foster is Poppy Perry's ,child,Is Ronan Foster Poppy Perry's child?,yes,Is Ronan Foster Poppy Perry's brother?,no,Who is Ronan Foster to Poppy Perry?,child,227
Tobias Perry is Travis Perry's child.,Tobias Perry is Travis Perry's ,child,Is Tobias Perry Travis Perry's child?,yes,Is Tobias Perry Travis Perry's sister?,no,Who is Tobias Perry to Travis Perry?,child,228
Nolan Flores is Molly Flores's brother.,Nolan Flores is Molly Flores's ,brother,Is Nolan Flores Molly Flores's brother?,yes,Is Nolan Flores Molly Flores's husband?,no,Who is Nolan Flores to Molly Flores?,brother,229
Steven Martinez is Scarlett Martinez's child.,Steven Martinez is Scarlett Martinez's ,child,Is Steven Martinez Scarlett Martinez's child?,yes,Is Steven Martinez Scarlett Martinez's husband?,no,Who is Steven Martinez to Scarlett Martinez?,child,230
Willow Ross is Xavier Ross's child.,Willow Ross is Xavier Ross's ,child,Is Willow Ross Xavier Ross's child?,yes,Is Willow Ross Xavier Ross's husband?,no,Who is Willow Ross to Xavier Ross?,child,231
William Jenkins is Trinity Jenkins's father.,William Jenkins is Trinity Jenkins's ,father,Is William Jenkins Trinity Jenkins's father?,yes,Is William Jenkins Trinity Jenkins's niece?,no,Who is William Jenkins to Trinity Jenkins?,father,232
Zane Ross is Avery Ross's father.,Zane Ross is Avery Ross's ,father,Is Zane Ross Avery Ross's father?,yes,Is Zane Ross Avery Ross's nephew?,no,Who is Zane Ross to Avery Ross?,father,233
Rachel Gray is Ruby Gray's niece.,Rachel Gray is Ruby Gray's ,niece,Is Rachel Gray Ruby Gray's niece?,yes,Is Rachel Gray Ruby Gray's mother?,no,Who is Rachel Gray to Ruby Gray?,niece,234
Richard Perry is Parker Ross's husband.,Richard Perry is Parker Ross's ,husband,Is Richard Perry Parker Ross's husband?,yes,Is Richard Perry Parker Ross's aunt?,no,Who is Richard Perry to Parker Ross?,husband,235
William Jenkins is Victoria Jenkins's brother.,William Jenkins is Victoria Jenkins's ,brother,Is William Jenkins Victoria Jenkins's brother?,yes,Is William Jenkins Victoria Jenkins's father?,no,Who is William Jenkins to Victoria Jenkins?,brother,236
Natalie Foster is Naomi Flores's mother.,Natalie Foster is Naomi Flores's ,mother,Is Natalie Foster Naomi Flores's mother?,yes,Is Natalie Foster Naomi Flores's uncle?,no,Who is Natalie Foster to Naomi Flores?,mother,237
Melanie Flores is Nathan Flores's child.,Melanie Flores is Nathan Flores's ,child,Is Melanie Flores Nathan Flores's child?,yes,Is Melanie Flores Nathan Flores's wife?,no,Who is Melanie Flores to Nathan Flores?,child,238
Raymond Perry is Richard Perry's child.,Raymond Perry is Richard Perry's ,child,Is Raymond Perry Richard Perry's child?,yes,Is Raymond Perry Richard Perry's father?,no,Who is Raymond Perry to Richard Perry?,child,239
Victor Hughes is Summer Hughes's father.,Victor Hughes is Summer Hughes's ,father,Is Victor Hughes Summer Hughes's father?,yes,Is Victor Hughes Summer Hughes's sister?,no,Who is Victor Hughes to Summer Hughes?,father,240
Tessa Jenkins is Violet Jenkins's niece.,Tessa Jenkins is Violet Jenkins's ,niece,Is Tessa Jenkins Violet Jenkins's niece?,yes,Is Tessa Jenkins Violet Jenkins's aunt?,no,Who is Tessa Jenkins to Violet Jenkins?,niece,241
Nathan Flores is Mila Flores's child.,Nathan Flores is Mila Flores's ,child,Is Nathan Flores Mila Flores's child?,yes,Is Nathan Flores Mila Flores's mother?,no,Who is Nathan Flores to Mila Flores?,child,242
Zachary Ross is Skylar Bailey's husband.,Zachary Ross is Skylar Bailey's ,husband,Is Zachary Ross Skylar Bailey's husband?,yes,Is Zachary Ross Skylar Bailey's mother?,no,Who is Zachary Ross to Skylar Bailey?,husband,243
Violet Jenkins is William Jenkins's sister.,Violet Jenkins is William Jenkins's ,sister,Is Violet Jenkins William Jenkins's sister?,yes,Is Violet Jenkins William Jenkins's aunt?,no,Who is Violet Jenkins to William Jenkins?,sister,244
Simon Gray is Spencer Gray's father.,Simon Gray is Spencer Gray's ,father,Is Simon Gray Spencer Gray's father?,yes,Is Simon Gray Spencer Gray's aunt?,no,Who is Simon Gray to Spencer Gray?,father,245
